,SecId,LegalName,Name,IndustryName,SectorName,Ticker,ClosePrice,MarketCap,TenforeId,Universe,ExchangeId
2716,0P000080T3,CarParts.com Inc,CarParts.com Inc,Internet Retail,Consumer Cyclical,PRTS,3.35,191006534,126.1.PRTS,E0EXG$XNAS,EX$$$$XNAS
2717,0P00006ZZ4,Carrols Restaurant Group Inc,Carrols Restaurant Group Inc,Restaurants,Consumer Cyclical,TAST,5.57,288010101,126.1.TAST,E0EXG$XNAS,EX$$$$XNAS
2718,0P0000CP2I,Carter Bankshares Inc,Carter Bankshares Inc,Banks - Regional,Financial Services,CARE,11.1,258957705,126.1.CARE,E0EXG$XNAS,EX$$$$XNAS
2719,0P0001PAZ0,Cartesian Growth Corp II Class A,Cartesian Growth Corp II Class A,Shell Companies,Financial Services,RENE,10.85,311937499,126.1.RENE,E0EXG$XNAS,EX$$$$XNAS
2720,0P0001P0M2,Cartesian Growth Corp II Units (1 Ord Share Class A & 1/3 War),Cartesian Growth Corp II Units (1 Ord Share Class A & 1/3 War),Shell Companies,Financial Services,RENEU,10.9,,126.1.RENEU,E0EXG$XNAS,EX$$$$XNAS
2721,0P0001OK5P,Cartica Acquisition Corp Class A,Cartica Acquisition Corp Class A,Shell Companies,Financial Services,CITE,10.78,107416393,126.1.CITE,E0EXG$XNAS,EX$$$$XNAS
2722,0P0001O8CL,Cartica Acquisition Corp Units (1 Ord Class A & 1/2 War),Cartica Acquisition Corp Units (1 Ord Class A & 1/2 War),Shell Companies,Financial Services,CITEU,10.8,,126.1.CITEU,E0EXG$XNAS,EX$$$$XNAS
2723,0P0000013U,Carver Bancorp Inc,Carver Bancorp Inc,Banks - Regional,Financial Services,CARV,1.2098,5838385,126.1.CARV,E0EXG$XNAS,EX$$$$XNAS
2724,0P0001CC9J,Casa Systems Inc,Casa Systems Inc,Communication Equipment,Technology,CASA,0.56,54415946,126.1.CASA,E0EXG$XNAS,EX$$$$XNAS
2725,0P00000140,Casella Waste Systems Inc Class A,Casella Waste Systems Inc Class A,Waste Management,Industrials,CWST,73.32,4249792096,126.1.CWST,E0EXG$XNAS,EX$$$$XNAS
2726,0P00000141,Casey's General Stores Inc,Casey's General Stores Inc,Specialty Retail,Consumer Cyclical,CASY,271.44,10115655675,126.1.CASY,E0EXG$XNAS,EX$$$$XNAS
2727,0P000001ZF,CASI Pharmaceuticals Inc,CASI Pharmaceuticals Inc,Biotechnology,Healthcare,CASI,3.32,44227403,126.1.CASI,E0EXG$XNAS,EX$$$$XNAS
2728,0P00000145,Cass Information Systems Inc,Cass Information Systems Inc,Specialty Business Services,Industrials,CASS,37.99,519207620,126.1.CASS,E0EXG$XNAS,EX$$$$XNAS
2729,0P0000047E,Cassava Sciences Inc,Cassava Sciences Inc,Biotechnology,Healthcare,SAVA,20.57,863322776,126.1.SAVA,E0EXG$XNAS,EX$$$$XNAS
2730,0P0001I2G4,Castle Biosciences Inc,Castle Biosciences Inc,Diagnostics & Research,Healthcare,CSTL,13.08,350671242,126.1.CSTL,E0EXG$XNAS,EX$$$$XNAS
2731,0P0001FTMS,Castor Maritime Inc Ordinary Shares,Castor Maritime Inc Ordinary Shares,Marine Shipping,Industrials,CTRM,0.3729,36031043,126.1.CTRM,E0EXG$XNAS,EX$$$$XNAS
2732,0P0001NJ9F,Catalyst Bancorp Inc Ordinary Shares,Catalyst Bancorp Inc Ordinary Shares,Banks - Regional,Financial Services,CLST,11.25,55254262,126.1.CLST,E0EXG$XNAS,EX$$$$XNAS
2733,0P00002ADP,Catalyst Biosciences Inc,Catalyst Biosciences Inc,Biotechnology,Healthcare,CBIO,0.539,20468466,126.1.CBIO,E0EXG$XNAS,EX$$$$XNAS
2734,0P00006SS0,Catalyst Pharmaceuticals Inc,Catalyst Pharmaceuticals Inc,Biotechnology,Healthcare,CPRX,13.44,1432473598,126.1.CPRX,E0EXG$XNAS,EX$$$$XNAS
2735,0P0000014J,Cathay General Bancorp,Cathay General Bancorp,Banks - Regional,Financial Services,CATY,33.65,2443278150,126.1.CATY,E0EXG$XNAS,EX$$$$XNAS
2736,0P0000014P,Cavco Industries Inc,Cavco Industries Inc,Residential Construction,Consumer Cyclical,CVCO,253.29,2197842415,126.1.CVCO,E0EXG$XNAS,EX$$$$XNAS
2737,0P000006CA,CB Financial Services Inc,CB Financial Services Inc,Banks - Regional,Financial Services,CBFV,21.31,109015098,126.1.CBFV,E0EXG$XNAS,EX$$$$XNAS
2738,0P000069UV,CBAK Energy Technology Inc,CBAK Energy Technology Inc,Electrical Equipment & Parts,Industrials,CBAT,0.785,70231744,126.1.CBAT,E0EXG$XNAS,EX$$$$XNAS
2739,0P0001Q74O,CBL International Ltd,CBL International Ltd,Oil & Gas Midstream,Energy,BANL,0.95,23750000,126.1.BANL,E0EXG$XNAS,EX$$$$XNAS
2740,0P0001N1NE,CCC Intelligent Solutions Holdings Inc,CCC Intelligent Solutions Holdings Inc,Software - Infrastructure,Technology,CCCS,10.93,6909161881,126.1.CCCS,E0EXG$XNAS,EX$$$$XNAS
2741,0P0000YZKK,CDW Corp,CDW Corp,Information Technology Services,Technology,CDW,198.42,26592413078,126.1.CDW,E0EXG$XNAS,EX$$$$XNAS
2742,0P0000SQ4B,CEA Industries Inc,CEA Industries Inc,Farm & Heavy Construction Machinery,Industrials,CEAD,0.5813,4694795,126.1.CEAD,E0EXG$XNAS,EX$$$$XNAS
2743,0P000000Y2,CECO Environmental Corp,CECO Environmental Corp,Pollution & Treatment Controls,Industrials,CECO,16.12,560415507,126.1.CECO,E0EXG$XNAS,EX$$$$XNAS
2744,0P0001BL02,Celcuity Inc,Celcuity Inc,Biotechnology,Healthcare,CELC,10.4,228632980,126.1.CELC,E0EXG$XNAS,EX$$$$XNAS
